Studio,Category,Original criterion,Simplified requirement,Nestlé/WPP responsibility,Current status,Evidence,Missing requirement,Next action,Owner,Dependency,Target date
Philippines,Operational Excellence & Hygiene,Is there a dedicated Nestlé Studio Owner/Manager?,Dedicated Nestlé studio owner or manager,Nestlé,Fulfilled,Status workbook: Done — Raffy Casas,None identified in scorecard,Dedicated Nestlé studio owner with day to day operational influence,Nestlé,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Operational Excellence & Hygiene,Is there a Senior Nestlé Sponsor?,Active senior Nestlé sponsorship,Nestlé,Fulfilled,Status workbook: Done — Jayel Ladioray,None identified in scorecard,"Senior Nestlé sponsor actively backs the studio as a strategic solution, not just a delivery team",Nestlé,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Operational Excellence & Hygiene,Are KPIs aligned and cascaded and agreed on?,Aligned and cascaded KPIs,Nestlé,Fulfilled,Status workbook: For Updating — This needs to become tighter and more consistent so the studio is not only seen as productive but demonstrably effective,None identified in scorecard,KPIs are defined at the start and linked to business and content outcomes,"Nestlé sets business priorities, WPP translates into content metrics",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Operational Excellence & Hygiene,"Is scope provided on an annual basis (qty, asset type)?",Clear annual scope by quantity and asset type,Nestlé,Fulfilled,"Status workbook: On-Going — Scope may already support a mature model, but it should now be reviewed against what is needed to deepen strategy, creative quality, and more advanced performance integration",None identified in scorecard,"Scope is explicit, future fit, and capability led","Shared, Nestlé signs off",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Operational Excellence & Hygiene,Are POs are issued based on agreed timelines?,Commercial documents issued to agreed timelines,Nestlé,Fulfilled,Status workbook: On-Going — Scope agreements should be completed and signed off by both parties before work is begun; PO issuance to follow shortly after,None identified in scorecard,Timely POs and Scope Closing,Shared,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled,Not provided
Philippines,Operational Excellence & Hygiene,Are asset and talent usage rights cascaded to the Content Studio?,"Legal, rights, talent and versioning requirements cascaded and followed",Nestlé,Fulfilled,"Status workbook: On-Going — Stronger creative ambition usually creates more complexity, so this needs to stay disciplined",None identified in scorecard,"Legal, rights, talent, and versioning processes are controlled",Shared,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Operational Excellence & Hygiene,Are Brand Stakeholders involved in Content Planning?,Brand stakeholders involved in content planning,Nestlé,Fulfilled,"Status workbook: For Updating — The market is strong, but earlier and better client participation in planning will improve strategic quality",None identified in scorecard,Brand stakeholders are not only approvers but planning partners,Nestlé,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Operational Excellence & Hygiene,"Do briefs provide enough lead time to ideate and produce, and are complete (key message, asset bank, target audience)?",Complete briefs with sufficient lead time and timely challenge,Nestlé,Fulfilled,Status workbook: For Updating — Stronger briefs and earlier briefing are one of the main unlocks for improving strategy and creative quality,None identified in scorecard,"Briefs arrive early, complete, and strategically useful","Nestlé for brief quality, WPP for QA",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Operational Excellence & Hygiene,Does the Nestlé Studio Manager/Owner meet with the Studio Lead on a monthly and/or quarterly basis?,Regular leadership and brand governance cadence,Nestlé,Fulfilled,"Status workbook: For Updating — Governance likely exists, but it should now include more quality, strategy, and capability topics, not just delivery and SLA",None identified in scorecard,"Working sessions, monthly operations, and quarterly strategic reviews are running with decisions",Shared,Source dependency: Not provided · Rule-based prerequisites: Dedicated Nestlé studio owner or manager: Fulfilled; Senior WPP studio leadership: Fulfilled,Not provided
Philippines,Operational Excellence & Hygiene,Are Brand Governance meetings in place with the Content Studio?,Regular leadership and brand governance cadence,Nestlé,Fulfilled,"Status workbook: For Updating — Governance likely exists, but it should now include more quality, strategy, and capability topics, not just delivery and SLA",None identified in scorecard,"Working sessions, monthly operations, and quarterly strategic reviews are running with decisions",Shared,Source dependency: Not provided · Rule-based prerequisites: Dedicated Nestlé studio owner or manager: Fulfilled; Senior WPP studio leadership: Fulfilled,Not provided
Philippines,Operational Excellence & Hygiene,Is a shared workflow tool used consistently?,Consistent shared workflow and approval process,Nestlé,Not fulfilled,"Status workbook: For Updating — The market may already be operating well, but RED requires continued process discipline as the model grows",Consistent shared workflow and approval process,Workflow tool is used consistently and approvals are structured,Shared,Source dependency: Not provided · Rule-based prerequisites: Regular leadership and brand governance cadence: Fulfilled,Not provided
